pagina,LOCAL,EMPATE,VISITA,LE,EV,LV,MAS 2.5,MENOS 2.5,AMBOS SI,AMBOS NO,LOCAL AMBOS SI,LOCAL AMBOS NO,VISITA AMNBOS SI,VISITA AMBOS NO,EMPATE AMBOS SI,EMPATE AMBOS NO,LOCAL-LOCAL,LOCAL-EMPATE,LOCAL-VISITA,EMPATE-LOCAL,EMPATE-EMPATE,EMPATE-VISITA,VISITA-LOCAL,VISITA-EMPATE,VISITA-VISITA,LINEA GOL L,LINEA GOL V,LE NO VALIDO,V E NO VALIDO,H ASIATICO L,H ASIATICO E,H ASIATICO V,R.H.A L1,R. H. A. L2,R.H.A L3,R. H. A. L4,R. H. A. E1,R. H. A. E2,R. H. A. E3,R. H. A. E4,R. H. A. V1,R. H. A. V2,R. H. A. V3,R. H. A. V4,L.G.A 0.5 +,L.G.A 0.5 -,L.G.A 0.5 1.0 +,L.G.A 0.5 1.0 -,L.G.A 1.0 +,L.G.A 1.0 -,L.G.A 1.0 1.5 +,L.G.A 1.0 1.5 -,L.G.A 1.5 +,L.G.A 1.5 -,L.G.A 1.5 2.0 +,L.G.A 1.5 2.0 -,L.G.A 2.0 +,L.G.A 2.0 -,L.G.A 2.0 2.5 +,L.G.A 2.0 2.5 -,L.G.A 2.5 +,L.G.A 2.5 -,L.G.A 2.5 3.0 +,L.G.A 2.5 3.0 -,L.G.A 3.0 +,L.G.A 3.0 -,L.G.A 3.0 3.5 +,L.G.A 3.0 3.5 -,L.G.A 3.5 +,L.G.A 3.5 -,L.G.A 3.5 4.0 +,L.G.A 3.5 4.0 -,L.G.A 4.0 +,L.G.A 4.0 -,L.G.A 4.0 4.5 +,L.G.A 4.0 4.5 -,L.G.A 4.5 +,L.G.A 4.5 -,L.G.A 4.5 5.0+,L.G.A 4.5 5.0-,L.G.A 5.0+,L.G.A 5.0-,L.G.A 5.0 5.5+,L.G.A 5.0 5.5-,L.G.A 5.5+,L.G.A 5.5-,L.G.A 5.5 6.0+,L.G.A 5.5 6.0-,L.G.A. 6.0+,L.G.A. 6.0-,L.G.A 6.0 6.5+,L.G.A 6.0 6.5-,L.G.A 6.5+,L.G.A 6.5-,L.G.A 6.5 7.0+,L.G.A 6.5 7.0-,L.G.A. 7.0+,L.G.A. 7.0-,L.G.A 7.0 7.5+,L.G.A 7.0 7.5-,LOCAL HT,EMPATE HT,VISITA HF,LE HT,EV HT,LV HT,LOCAL AMBOS HF SI,LOCAL AMBOS HF NO,VISITA AMBOS HF SI,VISITA AMBOS HF NO,EMPATE AMBOS HF SI,EMPATE AMBOS HF NO,LOCAL GOLES MAS HF,LOCAL GOLES MENOS HF,VISITA GOLES MAS HF,VISITA GOLES MENOS HF,EMPATE GOLES MAS HF,EMPATE GOLES MENOS HF,1 MITAD MAS GOLES,2 MITAD MAS GOLES,EMPATE,MAS 0.5,MENOS 0.5,MAS 1.5,MENOS 1.5,MAS 3.5,MENOS 3.5,MAS 4.5,MENOS 4.5,MAS 5.5,MENOS 5.5,MAS 6.5,MENOS 6.5,MAS 7.5,MENOS 7.5,MAS 8.5,MENOS 8.5,MAS 9.5,MENOS 9.5,MAS 10.5,MENOS 10.5,MAS 11.5,MENOS 11.5,L MAS DE 2.5,L MENOS DE 2.5,V MAS 2.5,V MENOS 2.5,E MAS 2.5,E MENOS 2.5,MAS DE 2.5 YSI ,MAS DE 2.5 Y NO,MENOS DE 2.5 YSI,MENOS DE 2.5 Y NO,0 GOL,1 GOL,2 GOL,3 GOL,4 GOL,5 GOL,6 GOL,7 O MAS GOLES,MENOS 2 GOLES,2 O 3,MAS DE 3 GOLES,AMBOS EQUIPOS,LOCAL SOLO,SIN GOL,VISITA SOLO,1a MITAD - AMBOS ANOTARAN/SI,1a MITAD - AMBOS ANOTARAN/NO,2a MITAD - AMBOS ANOTARAN/SI,2a MITAD - AMBOS ANOTARAN/NO,AMBOS SI/SI,AMBOS SI/NO,AMBOS NO /SI,AMBOS NO/NO,1/T -GOLES +0.5,1/T -GOLES -0.5,1/T -GOLES +1.5,1/T -GOLES -1.5,1/T -GOLES +2.5,1/T -GOLES -2.5,1/T -GOLES +3.5,1/T -GOLES -3.5,1/T -GOLES +4.5,1/T -GOLES -4.5,1/T -GOLES +5.5,1/T -GOLES -5.5,1/M 0 GOLES,1/M 1 GOL,1/M 2 GOLES,1/M 3 GOLES,1/M 4 GOLES,1/M 5 GOLES +,EQUIPO ANOTARA/L,EQUIPO ANOTARA/0,EQUIPO ANOTARA/V,G/TEMPRANO-MIN,DATO,S/G TEMPRANO-MIN,DATO,G/TARDIO-MIN,DATO,S/G TARDIO-MIN,DATO,01-oct,nov-20,21-30,31-40,41-50,51-60,61-70,71-80,81-PITIDO FINAL,SIN GOL,0.5+,0.5-,1.5+,1.5-,2.5+,2.5-,3.5+,3.5-,4.5+,4.5-,5.5+,5.5-,6.5+,6.5-,2/M 0 GOLES,2/M 1 GOL,2/M 2 GOLES,2/M 3 GOLES,2/M 4 GOLES,2/M 5 GOLES +,L-1/M,L-2/M,L/EMPATE,V-1/M,V-2/M,V/EMPATE,P. L. SI,P. L. NO,P. V. SI,P. V. NO,L + DE 0.5,L - DE 0.5,L + DE 1.5,L - DE 1.5,L + DE 2.5,L - DE 2.5,L + DE 3.5,L - DE 3.5,L + DE 4.5,L - DE 4.5,L + DE 5.5,L - DE 5.5,L + DE 6.5,L - DE 6.5,L + DE 7.5,L - DE 7.5, L + DE 8.5,L - DE 8.5 ,L + DE 9.5,L - DE 9.5,V+ DE 0.5,V- DE 0.5,V+ DE 1.5,V- DE 1.5,V+ DE 2.5,V- DE 2.5,V+ DE 3.5,V- DE 3.5,V+ DE 4.5,V- DE 4.5,V+ DE 5.5,V- DE 5.5,V+ DE 6.5,V- DE 6.5,V+ DE 7.5,V- DE 7.5,LOCAL 0 GOL,LOCAL 1 GOL,LOCAL 2 GOLES,LOCAL 3 O MAS GOLES,VISITA 0 GOL,VISITA 1 GOL,VISITA 2 GOLES,VISITA 3 O MAS GOLES,M.V.1L,M.V.1V,M.V.2L,M.V.2V,M.V.3L,M.V.3V,M.V.4+L,M.V.4+V,M.V.EMPATE,M.V.SIN GOL,L. GOL MIN,DATO,L.SIN GOL MIN,DATO,V. GOL MIN,DATO,V.SIN GOL MIN,DATO,G/IMPAR,G/PAR,LOCAL PAR,LOCAL IMPAR,VISITA PAR,VISITA IMPAR,1G/IMPAR,1G/PAR,EQUIPO ANOTARA/L,EQUIPO ANOTARA/0,EQUIPO ANOTARA/V,REULTADO HF,RESULTADO FINAL,CORNERS,CORNERS LOCAL,CORNERS VISITA,TARJETA AMARILLA,TARJETA ROJA
18,1.8,3.4,4.75,1.18,1.95,1.3,2.2,1.65,2,1.72,4.5,2.62,11,8,5,8,2.87,15,41,4.5,5,9.5,26,17,8,1.975,1.875,1.28,3.5,3.25,3.6,1.95,17,7,1.18,1.04,10,5,6.5,15,1.083,1.33,12,34,,,,,1.11,6.6,1.24,3.9,1.375,3,1.475,2.6,1.65,2.2,,,2.2,1.65,2.6,1.475,3.3,1.325,3.55,1.275,3.9,1.24,5.25,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.1,5,1.14,1.5,1.66,19,2.75,34,5.5,8.5,2.62,6,3.6,17,6.5,9,2.62,3.2,2.1,3.25,1.071,9,1.36,3,4,1.22,9,1.071,19,1.02,41,1.004,,,,,,,,,,,3.2,3.6,9.5,8,17,4,2.75,8.5,6.5,2.05,8,4.33,3.4,4.33,7,13,29,41,3,1.95,4,2,2.62,8,8,6,1.12,4,1.22,21,7,4.33,1.44,1.44,2.62,3.4,1.3,10,1.062,26,1.01,,,,,2.62,2.5,4.5,12,34,81,1.5,8,3.1,32:00:00,1.83,32:00:00,1.83,71:59:00,1.83,71:59:00,1.83,5,5.5,6.5,7.5,8,12,15,17,17,8,1.28,3.5,2.25,1.57,5.5,1.14,15,1.03,,,,,,,3.5,2.62,3.75,8,21,41,3.4,2.37,2.5,4.33,3.1,1.8,2.1,1.66,4,1.22,1.22,0.54.00,2,1.72,4.33,1.2,11,1.05,26,1.01,,,,,,,,,,,1.66,2.1,4.33,1.2,15,1.03,41,1.004,,,,,,,,,4,2.75,3.5,4.33,2.1,2.5,5.5,15,3.6,6.5,5,15,10,41,17,101,5,8,47:00:00,1.83,79:00:00,1.9,47:00:00,1.83,79:00:00,1.8,2,1.85,1.8,1.9,1.57,2.25,2.2,1.66,1.5,8,3.1,,,,,,,
20,1.36,4.75,9.5,1.071,3,1.18,1.72,2.07,2,1.72,3.25,2.1,17,15,6.5,12,2,17,51,4,7,17,21,19,15,1.95,1.9,1.1,7,2,3.75,3,7,3.5,1.071,1.015,6,4.33,11,29,1.28,1.72,23,51,,,,,,,1.14,5.75,1.225,4.1,1.275,3.55,1.325,3.3,1.525,2.425,1.725,2.075,,,2.2,1.65,2.425,1.525,2.75,1.425,3.3,1.325,4.4,1.2,4.65,1.18,5.25,1.16,6.6,1.11,,,,,,,,,,,,,,,,,,,,,1.83,2.5,7.5,1.071,1.83,1.5,13,2.05,41,8,9,3.25,3.75,3.25,23,9,9,3.25,3,2,3.75,1.04,12,1.22,4,2.75,1.4,5.5,1.14,11,1.05,21,1.015,51,1.002,,,,,,,,,2.05,3.5,15,15,17,5.5,2.5,4.5,9.5,2.5,12,5.5,3.75,4,5.5,9,17,21,4,2,2.75,2,2.1,12,15,1.14,3.75,3.75,1.25,19,6.5,4.33,1.44,1.33,3.25,2.5,1.5,6.5,1.11,19,1.02,,,,,3.25,2.6,4,8.5,23,51,1.25,12,4.33,27:00:00,1.83,27:00:00,1.83,76:59:00,1.83,76:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,12,1.2,4.33,1.9,1.8,4,1.22,10,1.062,23,1.012,,,,,4.33,2.87,3.5,6,13,23,3.1,2.1,3.1,4.5,3.4,1.66,1.83,8,1.083,FALTA,1.083,0.58.00,1.5,2.5,2.5,1.5,5,1.16,,,26,1.01,,,,,,,,,1.83,1.83,5.5,1.14,19,1.02,,,,,,,,,,,8,3.6,3.25,2.5,1.83,2.5,6.5,19,1,3.75,2,4.33,3,6,4+,7,6.5,6.5,35:00:00,1.83,79:00:00,2.1,35:00:00,1.83,79:00:00,1.66,1.97,1.87,1.83,1.83,1.5,2.5,2,1.8,1.25,12,4.33,,,,,,,
21,2.8,3,2.7,1.44,1.4,1.36,2.2,1.65,1.8,1.95,6,4.5,6,4.33,4.33,8,4.5,15,29,6,4.75,6,29,15,4.33,1.95,1.9,1.83,1.83,1.44,4.33,5.5,15,6,1.12,1.03,8.5,4.5,8,19,1.11,1.4,13,34,,,,,1.11,6.6,1.24,3.9,1.375,3,1.475,2.6,1.625,2.25,,,2.2,1.65,2.5,1.5,3.1,1.35,3.55,1.275,3.9,1.24,5,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.05,3.4,1.3,1.3,1.72,23,3.75,23,3.6,8,2.62,9.5,4.75,9,4.5,8,2.62,3.2,2.05,3.4,1.071,9,1.36,3,3.75,1.25,9,1.071,19,1.02,41,1.004,,,,,,,,,,,5,5.5,4.75,5.5,12,3.6,2.5,12,5.5,2.2,8,4.5,3.4,4.33,6.5,13,26,41,3,1.95,3.75,1.8,4.5,8,4.33,5.5,1.14,3.5,1.28,19,6.5,4,1.5,1.44,2.62,3.25,1.33,10,1.062,26,1.01,,,,,2.62,2.5,4.5,12,34,81,2.2,8,1.9,32:00:00,1.83,32:00:00,1.83,72:59:00,1.83,72:59:00,1.83,5,5.5,6.5,7.5,8,12,15,17,17,8,1.28,3.5,2.2,1.61,5.5,1.14,15,1.03,,,,,,,3.5,2.75,3.6,7.5,19,34,3.75,2.6,2.2,3.75,2.6,2.2,3.25,1.33,3,1.36,1.36,3,2.62,1.44,.7.00,1.1,21,1.015,51,1.002,,,,,,,,,,,1.33,3.25,2.62,1.44,7,1.1,19,1.02,,,,,,,,,3,2.5,4,7,3.25,2.5,4,7,4.5,4.33,8.5,8,19,19,34,34,4.33,8,59:00:00,1.83,58:00:00,1.83,59:00:00,1.83,58:00:00,1.83,2.05,1.8,1.72,2,1.72,2,2.2,1.66,2.2,8,1.9,,,,,,,
22,1.85,3.4,4,1.22,1.9,1.3,1.95,1.85,1.8,1.9,4,3.25,8,7,4.75,10,3.1,15,34,4.75,5.5,8.5,23,15,6.5,2,1.85,1.36,3,3.4,3.75,1.9,17,7.5,1.22,1.055,11,5.5,6,13,1.083,1.3,9.5,223,,,,,,,1.19,4.5,1.3,3.45,1.375,3,1.475,2.6,1.725,2.075,,,2.2,1.65,2.675,1.45,3,1.375,3.3,1.325,4.1,1.225,5.9,1.13,6.25,1.12,6.6,1.11,,,,,,,,,,,,,,,,,,,,,,,2.5,2.2,4.5,1.16,1.5,1.61,17,2.87,26,4.75,8,2.75,6,4,13,6,8,2.75,3.1,2.05,3.5,1.05,11,1.28,3.5,3.4,1.3,7,1.1,15,1.03,29,1.006,,,,,,,,,,,3.1,4.33,7,8,13,4.33,2.3,9,6.5,2.3,10,4.75,3.5,4.33,6,11,23,29,3.5,1.95,3.4,1.8,3.25,10,7,5,1.16,3.5,1.28,17,6,4,1.53,1.4,2.75,3,1.36,8,1.083,23,1.012,,,,,2.75,2.5,4.33,10,29,67,1.57,10,2.62,30:00:00,1.83,30:00:00,1.83,74:59:00,1.83,74:59:00,1.83,5,5,6,7,8,13,15,19,19,10,1.22,4,2.1,1.66,4.5,1.18,13,1.04,,,,,,,4,2.75,3.6,7,17,29,3.4,2.3,2.6,4,2.75,2,2.5,1.5,4.33,1.2,1.2,4.33,1.9,1.8,4,1.22,10,1.062,26,1.01,,,,,,,,,,,1.5,2.5,3.4,1.3,10,1.062,29,1.006,,,,,,,,,4.33,2.75,3.4,4,2.5,2.4,4.75,10,3.75,6,5.5,13,11,34,17,51,4.75,10,46:00:00,1.83,70:00:00,1.83,46:00:00,1.83,70:00:00,1.83,2,1.85,1.8,1.9,1.66,2.1,2.1,1.72,1.57,10,2.62,,,,,,,
23,2.5,2.87,2.9,1.4,1.5,1.4,2.5,1.5,2.1,1.66,6.5,3.75,7.5,4.33,4.5,6.5,4.33,15,34,5.5,4.33,6.5,34,15,5,1.925,1.925,1.72,2,5.5,4,1.5,34,15,1.4,1.09,19,7.5,4.5,9.5,1.03,1.12,7,19,1.105,6.8,1.125,6,1.15,5.5,1.325,3.3,1.5,2.5,1.65,2.2,,,2.2,1.65,2.5,1.5,3.1,1.35,4.1,1.225,4.5,1.19,5,1.17,6.4,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,1.9,3.75,1.25,1.3,1.8,26,3.6,29,4,9,2.25,10,4.33,12,4.75,9,2.25,3.25,2.1,3.1,1.1,7,1.5,2.5,5,1.16,11,1.05,26,1.01,51,1.002,,,,,,,,,,,5,4.5,6,5,17,3.4,3,13,6,1.9,6.5,3.75,3.25,4.75,8,17,41,51,2.5,2,5,2.1,3.75,6.5,4.33,6,1.12,4,1.22,23,7,4.5,1.4,1.57,2.25,3.75,1.25,11,1.05,,,,,,,2.25,2.5,5,15,41,101,1.9,6.5,2.3,35:00:00,1.83,35:00:00,1.83,69:59:00,1.83,69:59:00,1.83,5.5,6,6.5,7.5,8,12,15,17,15,6.5,1.33,3.25,2.62,1.44,6.5,1.11,19,1.02,,,,,,,3.25,2.6,4,9,23,51,3.75,2.62,2.1,4,2.75,2,2.5,1.5,2.75,1.4,1.4,2.75,3,1.36,8,1.083,23,1.012,,,,,,,,,,,,,1.5,2.5,3.4,1.3,10,1.062,26,1.01,,,,,,,,,2.75,2.5,4.33,8,2.5,2.5,4.75,10,4,4.5,7.5,9.5,19,23,34,41,4.5,6.5,63:00:00,1.83,69:00:00,1.83,63:00:00,1.83,69:00:00,1.83,2.02,1.82,1.72,2,1.66,2.1,2.2,1.66,1.9,6.5,2.3,,,,,,,
24,1.72,3.6,5.25,1.14,2,1.28,1.75,2.05,1.72,2,3.6,3,8.5,9,4.75,11,2.62,17,41,4.5,6,9.5,23,17,7,1.95,1.85,1.28,3.5,2.75,3.75,1,11,5.5,1.14,1.045,8,4.75,6.5,15,1.11,1.4,10,26,,,,,,,1.14,5.75,1.23,4,1.275,3.55,1.35,3.1,1.55,2.375,1.75,2.05,,,2.2,1.65,2.5,1.5,2.75,1.425,3.3,1.325,4.4,1.2,4.65,1.18,5.25,1.16,6.6,1.11,,,,,,,,,,,,,,,,,,,,,2.25,2.25,4.5,1.16,1.57,1.57,15,2.6,23,5.5,7.5,3,5,3.75,13,6.5,8,3,3.1,2,3.6,1.04,9,1.22,4,2.75,1.4,5,1.14,8.5,1.05,12,1.015,21,1.002,,,,,,,,,2.6,4.33,7.5,10,12,4.75,2.2,7,7,2.6,11,5.5,3.75,4.33,5.5,9.5,19,13,4,2,2.75,1.72,3,11,9,4.5,1.18,3.4,1.3,15,6,3.75,1.57,1.36,3,2.62,1.44,6,1.11,11,1.02,,,,,3,2.6,4,9,26,21,11,2.87,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,1.2,4.33,1.9,1.8,4,1.22,10,1.062,23,1.012,,,,,4.33,2.87,3.5,6,15,23,3.25,2.25,2.75,4,2.87,2,2.5,1.5,5,1.14,1.14,5,1.72,2,53.4,1.3,6.5,1.1,10.5,1.025,,,,,,,,,,,1.5,2.5,3.5,1.28,8,1.062,15,1.01,,,,,,,,,5,3,3.4,3.4,2.5,2.5,4.75,8,3.75,6.5,4.75,15,8,41,11,67,4.75,11,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,2,1.85,1.83,1.83,1.66,2.1,2.1,1.72,11,2.87,1.14,,,,,,,,
25,1.7,3.6,5.25,1.14,2.1,1.28,1.7,2.1,1.8,1.9,3.6,2.75,9,9,4.75,11,2.6,17,41,4.5,6,10,23,17,7.5,1.9,1.9,1.25,3.75,2.62,3.75,2.1,11,5,1.14,1.04,8,4.75,6.5,15,1.12,1.4,10,29,,,,,,,1.13,5.9,1.22,4.15,1.26,3.7,1.325,3.3,1.525,2.425,,,,,2.15,1.675,2.375,1.55,2.675,1.45,3.3,1.325,4.15,1.22,4.5,1.19,1.19,4.5,6.25,1.12,,,,,,,,,,,,,,,,,,,,,2.2,2.25,4.75,1.16,1.61,1.57,13,2.6,26,5.5,7.5,3,4.75,3.75,13,6.5,8,3,3.1,2,3.6,1.04,9,1.2,4.33,2.62,1.44,4.5,1.16,8,1.062,12,1.015,17,1.005,,,,,,,,,2.6,4.33,8,10,12,4.75,2.25,7,7,2.5,11,5.5,3.75,4.33,5.5,9.5,19,13,4.33,2.05,2.62,1.8,2.75,11,9,4.5,1.18,3.4,1.3,15,6,3.75,1.57,1.36,3,2.62,1.44,6,1.11,11,1.02,,,,,3,2.6,4,9,26,21,1.44,11,3,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,1.2,4.33,1.9,1.8,4,1.22,10,1.062,23,1.012,,,,,4.33,2.87,3.5,6,15,23,3.25,2.2,2.75,4,2.87,1.95,2.37,1.53,5,1.14,1.14,5,1.72,2,3.25,1.33,6.5,1.1,10.5,1.025,,,,,,,,,,,1.53,2.37,3.5,1.28,8.5,1.05,15,1.01,,,,,,,,,5,3.1,3.4,3.25,2.37,2.5,5,8.5,3.75,6.5,4.75,15,8,41,11,67,5,11,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,2,1.85,1.83,1.83,1.61,2.2,2.1,1.72,11,3,1.72,,,,,,,
26,1.95,3.4,3.8,1.25,1.8,1.3,1.9,1.9,1.72,2,4,3.5,7,7,4.33,11,3.2,13,29,5,5.5,8,23,15,6,1.925,1.925,1.4,2.75,3.5,4,1.8,17,7.5,1.25,1.062,11,5.5,6,12,1.083,1.28,8.5,21,,,,,,,1.17,5,1.275,3.55,1.325,3.3,1.425,2.75,1.65,2.2,,,2.1,1.7,2.5,1.5,2.85,1.4,3.1,1.35,3.8,1.25,5.5,1.15,5.9,1.13,6.25,1.12,,,,,,,,,,,,,,,,,,,,,,,2.6,2.2,4,1.22,1.5,1.61,17,2.87,23,4.5,7.5,3,6,4,11,5.5,7.5,3,3.1,2,3.6,1.05,11,1.28,3.5,3.25,1.33,6.5,1.11,13,1.04,26,1.01,51,1.002,,,,,,,,,3,4.75,6.5,8.5,11,4.5,2.2,9,6.5,2.5,11,5,3.6,4.33,5.5,10,21,26,3.5,1.95,3.25,1.72,3.5,11,7,4.5,1.18,3.25,1.33,15,6,3.75,1.61,1.36,3,2.75,1.4,7,1.1,21,1.015,,,,,3,2.5,4,9.5,29,51,1.57,11,2.6,29:00:00,1.83,29:00:00,1.83,75:59:00,1.83,75:59:00,1.83,4.5,5,6,7,8,13,17,19,21,11,1.22,4,2,1.72,4.33,1.2,11,1.05,26,1.01,,,,,4,2.87,3.5,6.5,15,26,3.4,2.3,2.6,3.75,2.62,2.1,2.75,1.4,4.5,1.18,1.18,4.5,1.9,1.8,4,1.22,10,1.062,,,51,1.002,,,,,,,,,1.4,2.75,,,9,1.071,23,1.012,,,,,,,,,4.5,2.75,3.4,4,2.75,2.5,4.33,9,4,6,5.5,12,11,29,17,51,4.5,11,45:00:00,1.83,64:00:00,1.83,45:00:00,1.83,64:00:00,1.83,2,1.85,1.8,1.9,1.66,2.1,2.1,1.72,1.57,11,2.6,,,,,,,
27,2.62,3.5,2.6,1.5,1.28,2.5,1.7,2.1,1.57,2.25,4.5,5.5,4.5,5,4,13,4.33,13,23,6.5,6,6.5,23,13,4,1.9,1.95,1.83,1.83,1.5,4.5,5,11,5,1.16,1.045,7.5,4.75,7.5,15,1.14,1.44,11,26,,,,,,,1.13,5.9,1.21,4.25,1.25,3.8,1.3,3.45,1.5,2.5,2.5,1.7,,,2.15,1.675,2.375,1.55,2.675,1.45,3.3,1.325,4.15,1.22,4.5,1.19,1.19,4.5,6.25,1.12,,,,,,,,,,,,,,,,,,,,,3.1,2.3,3.1,1.36,1.36,1.57,17,3.6,17,3.6,6.5,3.25,7,4.75,7,4.75,7,3.25,3.1,1.95,3.75,1.04,13,1.2,4.33,2.62,1.44,5,1.16,10,1.062,21,1.015,41,1.004,,,,,,,,,3.75,7,3.75,6.5,9.5,4.75,1.9,10,6.5,2.87,13,6,3.75,4,5,9,17,21,4.33,2.05,2.62,1.57,5.5,13,5,4,1.22,2.75,1.4,11,5.5,3.4,1.8,1.33,3.25,2.5,1.5,6.5,1.11,17,1.025,,,,,3.25,2.6,4,8.5,23,51,2.05,13,1.83,26:00:00,1.83,26:00:00,1.83,76:59:00,1.83,76:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,13,1.18,4.5,1.83,1.83,3.75,1.25,9,1.071,21,1.015,,,,,4.5,3,3.4,6,13,21,3.5,2.37,2.5,3.5,2.37,2.5,4,1.22,3.75,1.25,1.25,3.75,2.1,1.66,5,1.16,13,1.04,29,1.006,,,,,,,,,,,1.22,4,2.1,1.66,4.5,1.18,13,1.04,29,1.006,,,,,,,3.75,2.62,3.6,5,4,2.62,3.5,4.5,4.75,4.5,7.5,7.5,15,15,26,26,4.33,13,49:00:00,1.83,49:00:00,1.83,49:00:00,1.83,49:00:00,1.83,2,1.85,1.8,1.9,1.8,1.9,2,1.8,2.05,13,1.83,,,,,,,
28,1.66,4,5,1.16,2.15,1.22,1.53,2.4,1.57,2.25,3,3.4,7.5,11,4.75,17,2.6,13,29,4.75,7,10,19,15,7.5,1.875,1.975,1.25,3.75,2.6,4,2.15,10,4.75,1.16,1.045,8,5,7,15,1.16,1.44,10,26,,,,,,,,,1.16,5.25,1.19,4.5,1.225,4.1,1.375,3,1.55,2.375,1.675,2.15,,,2.075,1.725,2.35,1.575,2.675,1.45,3.45,1.3,3.7,1.26,4,1.23,5,1.17,1.17,5,,,,,,,,,,,,,,,,,,,2.2,2.5,4.5,1.16,1.61,1.5,11,2.6,21,5.5,7,3.75,4.33,4,11,6.5,7,3.75,3.1,1.95,4,1.025,17,1.16,5,2.25,1.57,4,1.22,8,1.083,17,1.025,29,1.006,,,,,,,,,3.5,2.87,12,7,10,6,1.83,7,8,3.2,17,7,4.33,4.33,4.75,7.5,13,17,5,2.1,2.25,1.57,3.4,17,11,3.75,1.25,2.75,1.4,11,5.5,3.4,1.8,1.25,3.75,2.25,1.57,5.5,1.14,15,1.03,,,,,3.75,2.62,3.75,7.5,19,34,1.44,17,2.75,24:00:00,1.83,24:00:00,1.83,78:59:00,1.83,78:59:00,1.83,4,4.5,5.5,7,8.5,13,19,23,23,17,1.14,5.5,1.72,2,3.25,1.33,7,1.1,19,1.02,,,,,5.5,3.1,3.4,5.5,11,19,3.2,2.2,3,3.6,2.62,2.1,2.75,1.4,7,1.1,1.1,7,1.53,2.37,2.62,1.44,5.5,1.14,13,1.04,29,1.006,,,,,,,,,1.4,2.75,2.75,1.4,8,1.083,21,1.015,51,1.002,,,,,,,7,3.4,3.25,2.62,2.75,2.5,4.33,8,4,7,5,15,8,34,10,51,4.75,17,36:00:00,1.83,62:00:00,1.83,36:00:00,1.83,62:00:00,1.83,2,1.85,1.83,1.83,1.72,2,2,1.8,1.44,17,2.75,,,,,,,
29,2.2,3.4,3.2,1.36,1.66,1.3,1.9,1.9,1.7,2.05,4.33,3.75,6,6,4.33,11,3.6,13,29,5.5,5.5,7,23,15,5,1.925,1.925,1.57,2.25,4.33,4,1.66,23,9.5,1.36,1.09,13,6.5,5,9.5,1.05,1.2,7,17,,,,,,,1.17,5,1.275,3.55,1.35,3.1,1.425,2.75,1.65,2.2,,,2.1,1.7,2.5,1.5,2.85,1.4,3.1,1.35,3.9,1.24,5.5,1.15,5.9,1.13,6.25,1.12,,,,,,,,,,,,,,,,,,,,,,,2.87,2.2,3.75,1.25,1.4,1.61,17,3.2,21,4,7.5,2.75,7,4.33,10,5,7.5,2.75,3.2,2,3.6,1.05,11,1.28,3.5,3.25,1.33,6.5,1.11,13,1.04,29,1.006,51,1.002,,,,,,,,,3.5,5,5,7,11,4.33,2.2,10,6.5,2.4,11,5,3.6,4,6,11,21,29,3.5,1.95,3.25,1.7,3.75,11,6,4.5,1.18,3.25,1.33,15,6,3.75,1.61,1.4,2.75,2.75,1.4,8,1.083,21,1.015,,,,,2.75,2.5,4,10,29,51,1.72,11,2.3,29:00:00,1.83,29:00:00,1.83,75:59:00,1.83,75:59:00,1.83,4.5,5,6,7,8,13,17,19,19,11,1.22,4,2,1.72,4.33,1.2,11,1.05,26,1.01,,,,,4,2.75,3.5,6.5,15,26,3.4,2.4,2.5,3.75,2.6,2.2,3,1.36,4,1.22,1.22,4,2.1,1.66,4.5,1.18,13,1.04,29,1.006,,,,,,,,,,,1.36,3,2.62,1.44,7,1.1,21,1.015,51,1.002,,,,,,,4,2.62,3.5,4.5,3,2.5,4,7,4,5,6.5,9.5,13,21,23,41,4.33,11,49:00:00,1.83,59:00:00,1.83,49:00:00,1.83,59:00:00,1.83,2,1.85,1.8,1.9,1.72,2,2.1,1.72,1.72,11,2.3,,,,,,,
